Airline,Source,Destination,Total_Stops,Additional_Info,Price,day,month,Duration_min
Air India,Delhi,Cochin,2 stops,No info,13748.0,6,3,800
Air India,Kolkata,Banglore,non-stop,No info,4880.0,21,4,155
IndiGo,Chennai,Kolkata,non-stop,No info,3540.0,21,6,145
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,3257.0,15,5,160
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,6478.0,3,6,180
Jet Airways,Mumbai,Hyderabad,non-stop,No info,8040.0,18,6,85
Jet Airways,Delhi,Cochin,2 stops,No info,14300.0,12,6,995
Jet Airways,Kolkata,Banglore,1 stop,No info,14781.0,15,5,740
Jet Airways,Kolkata,Banglore,1 stop,No info,14939.0,9,6,735
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,24,6,450
Air India,Kolkata,Banglore,1 stop,No info,6528.0,12,5,1440
Air India,Banglore,Delhi,non-stop,No info,6121.0,1,5,165
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,13029.0,18,5,535
Multiple carriers,Delhi,Cochin,1 stop,No info,11421.0,27,3,430
Multiple carriers,Delhi,Cochin,1 stop,No info,7574.0,27,3,870
Air India,Delhi,Cochin,2 stops,No info,11596.0,9,5,1820
Jet Airways,Delhi,Cochin,2 stops,No info,15129.0,24,5,1195
Jet Airways,Banglore,New Delhi,1 stop,No info,13555.0,18,3,900
IndiGo,Banglore,Delhi,non-stop,No info,5780.0,12,4,175
Vistara,Kolkata,Banglore,1 stop,No info,9397.0,12,5,765
Jet Airways,Delhi,Cochin,1 stop,No info,17024.0,6,3,610
GoAir,Delhi,Cochin,1 stop,No info,5281.0,27,6,355
Multiple carriers,Delhi,Cochin,1 stop,No info,10348.0,18,5,925
Air India,Delhi,Cochin,1 stop,No info,12677.0,6,3,965
Multiple carriers,Delhi,Cochin,1 stop,No info,15147.0,3,3,610
Vistara,Banglore,Delhi,non-stop,No info,4668.0,12,6,160
Jet Airways,Delhi,Cochin,1 stop,No info,15554.0,9,5,715
SpiceJet,Banglore,Delhi,non-stop,No info,3971.0,9,4,160
Air India,Mumbai,Hyderabad,non-stop,No info,3100.0,3,5,85
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663.0,6,5,845
Air India,Delhi,Cochin,1 stop,No info,27430.0,1,3,1215
IndiGo,Chennai,Kolkata,non-stop,No info,3540.0,12,5,145
Air India,Kolkata,Banglore,2 stops,No info,10676.0,21,5,1390
Jet Airways,Kolkata,Banglore,1 stop,No info,13044.0,12,6,1090
Jet Airways,Kolkata,Banglore,1 stop,No info,14388.0,6,5,960
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,24,6,170
IndiGo,Chennai,Kolkata,non-stop,No info,3597.0,3,6,140
Air India,Banglore,New Delhi,1 stop,No info,5932.0,21,3,480
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,15,6,1015
Vistara,Delhi,Cochin,non-stop,No info,6216.0,12,5,190
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,15,6,165
Multiple carriers,Delhi,Cochin,1 stop,No info,14067.0,21,5,840
Jet Airways,Delhi,Cochin,2 stops,No info,15129.0,18,5,1430
Jet Airways,Delhi,Cochin,2 stops,No info,13376.0,6,6,1300
Air India,Delhi,Cochin,2 stops,No info,10441.0,27,6,1275
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4030.0,24,5,165
Jet Airways,Delhi,Cochin,1 stop,No info,17024.0,3,3,650
Multiple carriers,Delhi,Cochin,1 stop,No info,13017.0,9,4,480
GoAir,Kolkata,Banglore,1 stop,No info,6686.0,6,6,495
IndiGo,Delhi,Cochin,1 stop,No info,5636.0,15,6,325
IndiGo,Delhi,Cochin,1 stop,No info,6442.0,9,6,515
Multiple carriers,Delhi,Cochin,1 stop,No info,9486.0,21,5,710
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,21,5,1655
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,15318.0,3,6,505
Air India,Delhi,Cochin,1 stop,No info,5117.0,3,4,1255
IndiGo,Delhi,Cochin,1 stop,No info,6147.0,24,6,290
Multiple carriers,Delhi,Cochin,1 stop,No info,7005.0,9,6,490
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,3,4,140
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,9270.0,21,3,1465
GoAir,Banglore,Delhi,non-stop,No info,3898.0,27,6,170
Jet Airways,Kolkata,Banglore,1 stop,No info,14781.0,12,5,740
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586.0,24,5,735
Air India,Kolkata,Banglore,2 stops,No info,10697.0,9,5,1415
Jet Airways,Delhi,Cochin,2 stops,No info,14300.0,27,6,995
IndiGo,Banglore,New Delhi,non-stop,No info,8855.0,3,3,170
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,12,5,1545
Jet Airways,Delhi,Cochin,1 stop,No info,17024.0,6,3,1570
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9314.0,1,5,1730
IndiGo,Banglore,New Delhi,non-stop,No info,4777.0,24,3,165
Air India,Kolkata,Banglore,1 stop,No info,7662.0,9,6,1515
IndiGo,Delhi,Cochin,1 stop,No info,6442.0,9,5,560
SpiceJet,Delhi,Cochin,1 stop,No info,5264.0,12,6,270
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898.0,27,5,925
Air India,Mumbai,Hyderabad,non-stop,No info,6092.0,3,3,90
SpiceJet,Banglore,Delhi,non-stop,No info,3311.0,21,5,160
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,6540.0,27,3,550
IndiGo,Banglore,Delhi,non-stop,No info,3419.0,27,5,165
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,5177.0,3,4,1355
Air India,Delhi,Cochin,non-stop,No info,8246.0,18,4,185
Jet Airways,Kolkata,Banglore,1 stop,No info,14676.0,9,6,690
Multiple carriers,Delhi,Cochin,1 stop,No info,13587.0,27,6,570
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663.0,6,5,730
Jet Airways,Kolkata,Banglore,1 stop,No info,13044.0,12,6,1055
IndiGo,Delhi,Cochin,1 stop,No info,5073.0,3,4,305
Vistara,Kolkata,Banglore,1 stop,No info,9345.0,21,5,1550
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663.0,6,5,1200
Multiple carriers,Delhi,Cochin,1 stop,No info,14277.0,21,5,780
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,1,6,1105
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678.0,27,3,90
Multiple carriers,Delhi,Cochin,1 stop,No info,13727.0,15,5,570
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663.0,6,5,960
IndiGo,Chennai,Kolkata,non-stop,No info,3858.0,12,5,140
SpiceJet,Delhi,Cochin,1 stop,No info,4812.0,24,6,270
IndiGo,Delhi,Cochin,1 stop,No info,5775.0,27,6,345
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10539.0,6,6,1450
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,3,6,155
Air Asia,Banglore,Delhi,non-stop,No info,3383.0,12,6,165
IndiGo,Banglore,New Delhi,1 stop,No info,8738.0,3,3,295
Air India,Delhi,Cochin,1 stop,No info,7165.0,27,3,1535
IndiGo,Delhi,Cochin,1 stop,No info,6412.0,24,6,380
Jet Airways,Banglore,Delhi,non-stop,No info,8016.0,27,6,185
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087.0,12,3,1120
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543.0,27,6,135
Jet Airways,Kolkata,Banglore,1 stop,No info,12471.0,12,6,730
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,24,6,1165
Air India,Banglore,New Delhi,non-stop,No info,4441.0,18,3,170
Multiple carriers,Delhi,Cochin,1 stop,No info,12537.0,27,3,505
GoAir,Kolkata,Banglore,1 stop,No info,10091.0,24,3,555
Air India,Banglore,Delhi,non-stop,No info,6961.0,3,6,170
IndiGo,Delhi,Cochin,non-stop,No info,5013.0,24,4,195
Air India,Delhi,Cochin,non-stop,No info,6934.0,18,5,170
Multiple carriers,Delhi,Cochin,1 stop,No info,10877.0,3,6,740
Jet Airways,Banglore,Delhi,non-stop,No info,7229.0,18,4,175
IndiGo,Delhi,Cochin,1 stop,No info,7048.0,27,3,575
Vistara,Banglore,Delhi,non-stop,No info,4878.0,27,6,155
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,21,5,570
Jet Airways,Delhi,Cochin,2 stops,No info,15129.0,18,5,1760
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,12,5,175
SpiceJet,Delhi,Cochin,1 stop,No info,5583.0,6,6,315
Multiple carriers,Delhi,Cochin,1 stop,No info,9646.0,6,6,545
Multiple carriers,Delhi,Cochin,1 stop,No info,7677.0,3,6,645
IndiGo,Delhi,Cochin,1 stop,No info,6842.0,1,6,295
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4995.0,24,6,90
Vistara,Kolkata,Banglore,1 stop,No info,9555.0,9,6,700
IndiGo,Banglore,Delhi,non-stop,No info,4077.0,1,6,165
Jet Airways,Banglore,Delhi,non-stop,No info,7229.0,12,5,175
Multiple carriers,Delhi,Cochin,1 stop,No info,12192.0,9,6,600
Air India,Banglore,Delhi,non-stop,No info,5911.0,12,4,165
Air India,Delhi,Cochin,1 stop,No info,8372.0,12,6,615
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4995.0,18,3,85
Multiple carriers,Delhi,Cochin,1 stop,No info,14323.0,9,5,555
Jet Airways,Delhi,Cochin,2 stops,No info,13014.0,9,6,1375
Air India,Delhi,Cochin,2 stops,No info,13591.0,6,6,1730
Jet Airways,Delhi,Cochin,2 stops,No info,18799.0,3,3,2245
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,27,4,170
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,1965.0,21,5,90
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4995.0,27,5,90
Air India,Kolkata,Banglore,1 stop,No info,14641.0,24,3,1540
Air India,Kolkata,Banglore,non-stop,No info,4460.0,12,4,155
Air India,Delhi,Cochin,1 stop,No info,10191.0,18,5,375
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,13843.0,9,3,1050
IndiGo,Delhi,Cochin,1 stop,No info,6349.0,1,5,345
Air Asia,Kolkata,Banglore,non-stop,No info,4409.0,1,5,155
Jet Airways,Delhi,Cochin,1 stop,No info,17024.0,6,3,1530
Multiple carriers,Delhi,Cochin,1 stop,No info,13727.0,18,5,835
IndiGo,Banglore,New Delhi,non-stop,No info,8855.0,15,3,175
Multiple carriers,Delhi,Cochin,1 stop,No info,12524.0,24,6,615
Jet Airways,Banglore,New Delhi,1 stop,No info,13555.0,18,3,520
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,6,6,330
Multiple carriers,Delhi,Cochin,1 stop,No info,13587.0,9,6,720
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543.0,12,6,135
Vistara,Chennai,Kolkata,non-stop,No info,4842.0,18,3,135
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,24,4,170
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10577.0,9,6,550
IndiGo,Delhi,Cochin,1 stop,No info,6979.0,15,5,625
Vistara,Chennai,Kolkata,non-stop,No info,11982.0,27,6,140
SpiceJet,Delhi,Cochin,1 stop,No info,5264.0,6,6,270
Vistara,Delhi,Cochin,non-stop,No info,8001.0,3,3,190
Air India,Delhi,Cochin,2 stops,No info,10651.0,1,6,1410
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,24,5,1640
Multiple carriers,Delhi,Cochin,1 stop,No info,6601.0,27,3,755
Air India,Delhi,Cochin,1 stop,No info,6587.0,21,3,1455
SpiceJet,Mumbai,Hyderabad,non-stop,No info,3173.0,21,3,80
Air India,Banglore,Delhi,non-stop,No info,5228.0,9,5,165
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,5769.0,21,6,180
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,6,6,660
Jet Airways,Delhi,Cochin,2 stops,No info,13014.0,3,6,810
IndiGo,Banglore,Delhi,non-stop,No info,3359.0,3,6,170
GoAir,Banglore,New Delhi,non-stop,No info,6722.0,3,3,175
IndiGo,Kolkata,Banglore,non-stop,No info,4462.0,18,3,165
IndiGo,Delhi,Cochin,1 stop,No info,6171.0,9,3,675
Air India,Kolkata,Banglore,2 stops,No info,12303.0,21,5,875
Multiple carriers,Delhi,Cochin,1 stop,No info,7695.0,21,3,835
IndiGo,Delhi,Cochin,1 stop,No info,5684.0,24,6,845
Air India,Kolkata,Banglore,1 stop,No info,8366.0,12,6,905
Air India,Chennai,Kolkata,non-stop,No info,19630.0,1,3,135
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,13502.0,6,3,900
Jet Airways,Kolkata,Banglore,1 stop,No info,14781.0,1,5,775
Multiple carriers,Delhi,Cochin,1 stop,No info,6513.0,12,6,540
Air India,Delhi,Cochin,1 stop,No info,9929.0,1,6,735
Multiple carriers,Delhi,Cochin,2 stops,No info,18275.0,6,6,460
Air India,Delhi,Cochin,1 stop,No info,4487.0,9,4,1640
IndiGo,Mumbai,Hyderabad,non-stop,No info,2754.0,15,3,85
Air India,Mumbai,Hyderabad,non-stop,No info,2575.0,27,3,80
SpiceJet,Kolkata,Banglore,1 stop,No info,8224.0,12,6,330
Air India,Delhi,Cochin,1 stop,No info,8991.0,9,3,705
IndiGo,Delhi,Cochin,non-stop,No info,5000.0,24,6,195
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8529.0,12,6,1495
Air India,Delhi,Cochin,1 stop,No info,14042.0,3,3,1640
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4030.0,24,5,175
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,6,6,1025
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,6,5,160
Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,7308.0,27,5,480
IndiGo,Banglore,Delhi,non-stop,No info,4823.0,12,5,180
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,24,6,1655
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898.0,27,5,450
Air India,Banglore,New Delhi,2 stops,No info,12778.0,12,3,1375
IndiGo,Delhi,Cochin,1 stop,No info,14871.0,3,3,515
Air India,Delhi,Cochin,2 stops,No info,8708.0,21,3,1795
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,6,6,1335
SpiceJet,Mumbai,Hyderabad,non-stop,No info,4129.0,6,3,80
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,18,5,160
Jet Airways,Banglore,Delhi,non-stop,No info,7229.0,6,5,180
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832.0,21,3,730
SpiceJet,Chennai,Kolkata,non-stop,No info,3859.0,18,3,155
Multiple carriers,Delhi,Cochin,1 stop,No info,9001.0,6,6,705
Vistara,Banglore,Delhi,non-stop,No info,4878.0,9,5,155
IndiGo,Mumbai,Hyderabad,non-stop,No info,2754.0,3,5,90
Vistara,Banglore,Delhi,non-stop,No info,4668.0,27,6,160
Air Asia,Kolkata,Banglore,non-stop,No info,5216.0,12,5,155
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10368.0,6,6,1375
IndiGo,Delhi,Cochin,2 stops,No info,8146.0,9,3,880
Jet Airways,Delhi,Cochin,1 stop,No info,12242.0,27,3,925
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,9134.0,15,3,435
Air India,Delhi,Cochin,2 stops,No info,10939.0,6,6,1210
Air India,Delhi,Cochin,2 stops,No info,11753.0,6,6,1245
SpiceJet,Kolkata,Banglore,non-stop,No info,4174.0,24,4,150
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,21,5,1430
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,3,6,1620
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9899.0,12,6,330
IndiGo,Delhi,Cochin,1 stop,No info,14871.0,3,3,710
IndiGo,Chennai,Kolkata,non-stop,No info,7295.0,6,3,135
Air India,Delhi,Cochin,2 stops,No info,13465.0,6,6,1470
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543.0,21,5,140
Multiple carriers,Delhi,Cochin,1 stop,No info,7198.0,27,6,390
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,1,6,1225
IndiGo,Kolkata,Banglore,non-stop,No info,4148.0,15,3,155
Jet Airways,Banglore,Delhi,non-stop,No info,8016.0,27,6,175
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,9,6,335
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841.0,15,6,150
Jet Airways,Banglore,New Delhi,1 stop,No info,11507.0,12,3,885
Jet Airways,Kolkata,Banglore,1 stop,No info,14781.0,1,5,740
Jet Airways,Delhi,Cochin,1 stop,No info,16079.0,27,5,1530
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898.0,27,5,335
Multiple carriers,Delhi,Cochin,1 stop,No info,15353.0,6,3,705
IndiGo,Banglore,New Delhi,non-stop,No info,7303.0,24,3,175
SpiceJet,Kolkata,Banglore,1 stop,No info,6197.0,24,3,340
Air India,Kolkata,Banglore,1 stop,No info,8996.0,9,6,245
IndiGo,Delhi,Cochin,1 stop,No info,6528.0,21,3,480
GoAir,Banglore,Delhi,non-stop,No info,4239.0,9,4,165
IndiGo,Kolkata,Banglore,non-stop,No info,4148.0,12,3,160
SpiceJet,Banglore,Delhi,non-stop,No info,3971.0,24,5,175
Air Asia,Kolkata,Banglore,1 stop,No info,5192.0,6,5,955
Jet Airways,Delhi,Cochin,2 stops,No info,9483.0,9,4,1390
Jet Airways,Delhi,Cochin,2 stops,No info,18804.0,3,6,440
Air India,Delhi,Cochin,non-stop,No info,5201.0,18,6,170
Jet Airways,Delhi,Cochin,1 stop,No info,16079.0,27,5,450
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229.0,15,6,180
Multiple carriers,Delhi,Cochin,1 stop,No info,6795.0,27,5,465
Jet Airways,Kolkata,Banglore,1 stop,No info,10953.0,9,5,1520
Multiple carriers,Delhi,Cochin,2 stops,No info,15965.0,24,6,625
Air India,Delhi,Cochin,2 stops,No info,9968.0,9,4,1820
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,6,6,155
Jet Airways,Delhi,Cochin,1 stop,No info,16079.0,27,5,540
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11507.0,12,6,910
Air India,Kolkata,Banglore,2 stops,No info,11542.0,9,6,1700
Jet Airways,Banglore,Delhi,non-stop,No info,7229.0,24,4,180
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4544.0,27,4,165
IndiGo,Delhi,Cochin,1 stop,No info,6496.0,15,5,295
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,15,6,160
Air India,Banglore,New Delhi,1 stop,No info,13439.0,1,3,1330
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,6540.0,27,3,610
IndiGo,Banglore,Delhi,non-stop,No info,4591.0,1,6,170
IndiGo,Banglore,New Delhi,1 stop,No info,4437.0,18,3,260
Air Asia,Delhi,Cochin,1 stop,No info,6151.0,21,3,660
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7754.0,21,6,180
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,24,6,1355
Jet Airways,Banglore,Delhi,non-stop,No info,8016.0,9,6,185
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,4781.0,24,3,160
Vistara,Banglore,Delhi,non-stop,No info,4668.0,27,6,170
Air India,Banglore,New Delhi,1 stop,No info,14594.0,6,3,1265
Jet Airways,Kolkata,Banglore,1 stop,No info,14231.0,24,3,710
Air India,Delhi,Cochin,1 stop,No info,8425.0,15,5,1535
Multiple carriers,Delhi,Cochin,1 stop,No info,9646.0,12,6,925
IndiGo,Chennai,Kolkata,non-stop,No info,7295.0,3,3,145
Air Asia,Kolkata,Banglore,1 stop,No info,5162.0,9,4,220
IndiGo,Banglore,New Delhi,non-stop,No info,6860.0,9,3,175
Vistara,Delhi,Cochin,non-stop,No info,6216.0,15,4,190
Air Asia,Kolkata,Banglore,1 stop,No info,5192.0,24,5,710
IndiGo,Banglore,Delhi,non-stop,No info,4823.0,9,4,170
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,3919.0,3,4,170
