Airline,Source,Destination,Total_Stops,Additional_Info,Price,day,month,Duration_min
IndiGo,Banglore,Delhi,non-stop,No info,3419.0,12,6,170
Air India,Delhi,Cochin,1 stop,No info,8907.0,21,5,810
Air Asia,Kolkata,Banglore,1 stop,No info,5192.0,21,5,955
IndiGo,Delhi,Cochin,1 stop,No info,6442.0,9,6,895
Air India,Delhi,Cochin,2 stops,No info,13381.0,12,6,1490
Air India,Chennai,Kolkata,non-stop,No info,4667.0,24,6,135
IndiGo,Delhi,Cochin,1 stop,No info,6496.0,9,5,295
Jet Airways,Kolkata,Banglore,1 stop,No info,12692.0,12,6,1295
IndiGo,Delhi,Cochin,1 stop,No info,5883.0,12,6,845
Air India,Kolkata,Banglore,1 stop,No info,10203.0,15,5,1435
GoAir,Banglore,Delhi,non-stop,No info,4937.0,18,4,170
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,24,6,395
Air India,Kolkata,Banglore,1 stop,No info,10808.0,24,3,1605
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,24,5,1335
Air India,Kolkata,Banglore,2 stops,No info,11668.0,18,5,955
Air India,Mumbai,Hyderabad,non-stop,No info,2575.0,24,3,75
Air India,Kolkata,Banglore,non-stop,No info,6245.0,18,5,150
Jet Airways,Delhi,Cochin,2 stops,No info,14237.0,1,6,1090
Jet Airways,Kolkata,Banglore,1 stop,No info,12121.0,6,5,840
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,9,6,1680
Multiple carriers,Delhi,Cochin,1 stop,No info,7888.0,21,5,720
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,8938.0,27,3,2315
SpiceJet,Delhi,Cochin,1 stop,No info,5409.0,3,6,295
Jet Airways,Banglore,Delhi,non-stop,No info,7229.0,6,4,175
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,3502.0,27,5,175
IndiGo,Delhi,Cochin,1 stop,No info,6093.0,3,6,625
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,3702.0,6,5,175
Air India,Kolkata,Banglore,3 stops,No info,14015.0,12,5,805
Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,15342.0,6,3,465
Air India,Kolkata,Banglore,1 stop,No info,7452.0,9,5,675
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,6,6,1680
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,1,5,705
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8824.0,24,3,965
Air India,Delhi,Cochin,1 stop,No info,7480.0,24,6,1255
SpiceJet,Banglore,New Delhi,non-stop,No info,6860.0,3,3,170
IndiGo,Kolkata,Banglore,non-stop,No info,4174.0,6,4,155
IndiGo,Kolkata,Banglore,non-stop,No info,4174.0,6,4,160
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229.0,6,6,185
Air India,Kolkata,Banglore,2 stops,No info,11752.0,9,6,1700
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229.0,1,6,180
Air India,Mumbai,Hyderabad,non-stop,No info,3100.0,12,6,75
Multiple carriers,Delhi,Cochin,1 stop,No info,13377.0,27,6,930
Air India,Banglore,Delhi,non-stop,No info,5176.0,1,4,165
Vistara,Banglore,Delhi,non-stop,No info,4668.0,3,5,170
IndiGo,Delhi,Cochin,1 stop,No info,6628.0,1,6,415
IndiGo,Banglore,Delhi,non-stop,No info,4591.0,18,4,170
IndiGo,Kolkata,Banglore,non-stop,No info,4174.0,3,4,155
Multiple carriers,Delhi,Cochin,1 stop,No info,6673.0,27,3,450
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,5406.0,6,4,715
Multiple carriers,Delhi,Cochin,1 stop,No info,8475.0,3,6,900
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543.0,3,5,140
Air India,Delhi,Cochin,1 stop,No info,9929.0,15,6,735
Air India,Delhi,Cochin,1 stop,No info,7480.0,27,6,765
Air Asia,Kolkata,Banglore,non-stop,No info,3807.0,6,4,155
IndiGo,Chennai,Kolkata,non-stop,No info,3597.0,18,6,140
IndiGo,Delhi,Cochin,1 stop,No info,10123.0,15,5,305
Multiple carriers,Delhi,Cochin,1 stop,No info,6795.0,9,6,760
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,3210.0,27,6,85
Air India,Delhi,Cochin,2 stops,No info,13381.0,3,6,1580
Multiple carriers,Delhi,Cochin,1 stop,No info,9140.0,24,5,465
Air India,Delhi,Cochin,2 stops,No info,10231.0,3,6,1275
IndiGo,Banglore,Delhi,non-stop,No info,4823.0,21,4,175
Air India,Kolkata,Banglore,non-stop,No info,13885.0,3,3,150
Multiple carriers,Delhi,Cochin,1 stop,No info,7575.0,21,5,470
Jet Airways,Banglore,New Delhi,1 stop,No info,12284.0,18,3,435
Vistara,Delhi,Cochin,non-stop,No info,4851.0,1,4,190
Air India,Kolkata,Banglore,2 stops,No info,11458.0,6,6,955
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10577.0,9,6,1485
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,27,5,140
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,3702.0,9,5,185
IndiGo,Kolkata,Banglore,non-stop,No info,4148.0,9,3,170
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7064.0,1,4,685
Jet Airways,Kolkata,Banglore,1 stop,No info,12681.0,1,4,585
Air India,Banglore,New Delhi,2 stops,No info,12358.0,3,3,1545
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,1,6,170
Multiple carriers,Delhi,Cochin,1 stop,No info,7485.0,21,5,900
Jet Airways,Kolkata,Banglore,1 stop,No info,14388.0,12,5,800
Multiple carriers,Delhi,Cochin,1 stop,No info,8073.0,15,5,480
Air Asia,Kolkata,Banglore,non-stop,No info,4384.0,6,3,155
Air India,Kolkata,Banglore,2 stops,No info,12219.0,1,4,1345
IndiGo,Mumbai,Hyderabad,non-stop,No info,2227.0,21,5,95
Multiple carriers,Delhi,Cochin,1 stop,No info,15058.0,3,6,730
Multiple carriers,Delhi,Cochin,1 stop,No info,13587.0,9,6,570
Jet Airways,Banglore,Delhi,non-stop,No info,8016.0,18,6,175
Air India,Banglore,New Delhi,non-stop,No info,11423.0,3,3,165
Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,10196.0,15,6,570
Air Asia,Delhi,Cochin,1 stop,No info,8627.0,6,3,865
Air India,Mumbai,Hyderabad,non-stop,No info,4937.0,3,3,80
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,6,6,745
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898.0,21,5,1210
Jet Airways,Kolkata,Banglore,1 stop,No info,14571.0,6,6,910
Jet Airways,Kolkata,Banglore,1 stop,No info,13941.0,15,5,425
IndiGo,Delhi,Cochin,1 stop,No info,6093.0,6,6,860
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373.0,18,5,660
Multiple carriers,Delhi,Cochin,1 stop,No info,7408.0,1,6,840
Air India,Delhi,Cochin,2 stops,No info,12803.0,15,5,1245
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8066.0,1,4,690
Multiple carriers,Delhi,Cochin,1 stop,No info,13377.0,27,6,840
Air India,Kolkata,Banglore,1 stop,No info,6241.0,24,3,1440
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841.0,15,4,155
Multiple carriers,Delhi,Cochin,1 stop,No info,13797.0,3,6,780
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373.0,18,5,610
IndiGo,Chennai,Kolkata,non-stop,No info,3540.0,3,6,145
IndiGo,Chennai,Kolkata,non-stop,No info,4332.0,24,5,145
Air India,Banglore,Delhi,non-stop,No info,6121.0,18,5,170
Air India,Delhi,Cochin,2 stops,No info,13039.0,21,5,865
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,18,5,1550
Vistara,Kolkata,Banglore,1 stop,No info,9345.0,15,5,975
Jet Airways,Kolkata,Banglore,1 stop,No info,13626.0,12,6,330
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,9,6,160
Air India,Delhi,Cochin,2 stops,No info,13486.0,18,5,1245
Multiple carriers,Delhi,Cochin,1 stop,No info,11999.0,21,3,430
Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,11142.0,9,5,730
Vistara,Banglore,Delhi,non-stop,No info,4668.0,6,5,170
Multiple carriers,Delhi,Cochin,1 stop,No info,12327.0,27,3,630
Jet Airways,Delhi,Cochin,2 stops,No info,15129.0,21,5,1375
IndiGo,Delhi,Cochin,1 stop,No info,13790.0,6,3,355
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841.0,27,6,150
Jet Airways,Delhi,Cochin,1 stop,No info,16289.0,9,3,550
SpiceJet,Banglore,Delhi,non-stop,No info,3625.0,24,4,175
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,15544.0,27,5,425
SpiceJet,Kolkata,Banglore,1 stop,No info,4649.0,1,4,315
SpiceJet,Banglore,Delhi,non-stop,No info,3311.0,12,5,160
Air India,Delhi,Cochin,1 stop,No info,24017.0,3,3,1420
Jet Airways,Banglore,New Delhi,1 stop,No info,19225.0,6,3,315
IndiGo,Kolkata,Banglore,non-stop,No info,5618.0,24,3,155
IndiGo,Kolkata,Banglore,non-stop,No info,4174.0,18,4,155
Jet Airways,Banglore,Delhi,non-stop,No info,7229.0,15,4,185
IndiGo,Delhi,Cochin,non-stop,No info,7673.0,6,3,185
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,3,6,1325
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,12384.0,21,5,800
Vistara,Mumbai,Hyderabad,1 stop,No info,12080.0,12,3,480
Jet Airways Business,Banglore,New Delhi,1 stop,Business class,62427.0,1,3,400
Air Asia,Delhi,Cochin,1 stop,No info,11410.0,3,6,340
SpiceJet,Kolkata,Banglore,1 stop,No info,9736.0,6,5,435
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,27,6,150
Air India,Mumbai,Hyderabad,non-stop,No info,10082.0,1,3,90
Jet Airways,Delhi,Cochin,2 stops,No info,13376.0,24,6,1300
Jet Airways,Kolkata,Banglore,1 stop,No info,13067.0,24,5,1745
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678.0,18,5,85
IndiGo,Banglore,Delhi,non-stop,No info,4823.0,1,5,180
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678.0,3,3,90
Jet Airways,Kolkata,Banglore,1 stop,No info,14151.0,9,6,1500
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,12,6,395
SpiceJet,Banglore,Delhi,non-stop,No info,3311.0,24,5,160
Jet Airways,Delhi,Cochin,non-stop,No info,9564.0,15,6,195
Air India,Banglore,Delhi,non-stop,No info,5911.0,12,4,170
Vistara,Chennai,Kolkata,non-stop,No info,3687.0,12,6,135
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,9134.0,15,3,530
Air India,Banglore,New Delhi,1 stop,No info,7932.0,24,3,385
IndiGo,Mumbai,Hyderabad,non-stop,No info,2227.0,18,3,85
Jet Airways,Delhi,Cochin,1 stop,No info,16289.0,9,3,1665
Air India,Kolkata,Banglore,2 stops,No info,14960.0,12,6,970
Jet Airways,Delhi,Cochin,1 stop,No info,12242.0,27,3,455
Air India,Kolkata,Banglore,2 stops,No info,10151.0,9,6,1195
Air India,Delhi,Cochin,1 stop,No info,8582.0,1,6,1335
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,15,5,170
Jet Airways,Delhi,Cochin,2 stops,No info,13376.0,12,6,830
SpiceJet,Kolkata,Banglore,non-stop,No info,6251.0,3,3,150
Vistara,Kolkata,Banglore,1 stop,No info,12942.0,24,3,900
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,12,6,1355
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,27,4,165
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,3,6,610
Jet Airways,Banglore,New Delhi,1 stop,No info,13555.0,6,3,1400
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3815.0,15,3,150
Vistara,Delhi,Cochin,non-stop,No info,6216.0,12,5,190
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,3,5,165
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10031.0,24,3,540
Multiple carriers,Delhi,Cochin,1 stop,No info,6630.0,21,3,870
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,3,6,140
Air India,Banglore,New Delhi,1 stop,No info,6850.0,15,3,1520
Multiple carriers,Delhi,Cochin,1 stop,No info,7740.0,3,6,490
IndiGo,Delhi,Cochin,non-stop,No info,5895.0,15,3,185
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898.0,27,5,300
Multiple carriers,Delhi,Cochin,1 stop,No info,11200.0,3,6,630
Jet Airways,Delhi,Cochin,2 stops,No info,13180.0,21,3,1600
Jet Airways,Banglore,New Delhi,1 stop,No info,16736.0,6,3,935
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,6540.0,27,3,550
Multiple carriers Premium economy,Delhi,Cochin,1 stop,No info,11269.0,21,3,395
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841.0,15,5,150
Jet Airways,Delhi,Cochin,2 stops,No info,16704.0,1,5,1760
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,5198.0,18,5,180
GoAir,Banglore,New Delhi,non-stop,No info,5706.0,9,3,175
Jet Airways,Kolkata,Banglore,1 stop,No info,14781.0,6,5,365
Jet Airways,Delhi,Cochin,2 stops,No info,11664.0,9,4,810
IndiGo,Delhi,Cochin,1 stop,No info,6968.0,21,4,320
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,3,6,360
Multiple carriers,Delhi,Cochin,1 stop,No info,6795.0,9,6,830
Multiple carriers,Delhi,Cochin,1 stop,No info,13587.0,1,6,720
Jet Airways,Kolkata,Banglore,1 stop,No info,14388.0,18,5,730
Jet Airways,Delhi,Cochin,2 stops,No info,15129.0,21,5,535
